Cosmic_Phenotype_id, Site_Primary,Site_Subtype1,Histology,Hist_Subtype1,Hist_Subtype2,Hist_Subtype3,Site_Primary_COSMIC,Site_Subtype1_COSMIC,Histology_COSMIC,Hist_Subtype1_COSMIC,NCI_Code
COSO29094799,skin,NS,lymphoma,non_Hodgkin,small_cell,NS,haematopoietic_and_lymphoid_tissue,skin,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C3457
COSO37824799,abdomen,NS,lymphoma,non_Hodgkin,small_cell,NS,haematopoietic_and_lymphoid_tissue,abdomen,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C3457
COSO28484799,NS,extradural,lymphoma,non_Hodgkin,small_cell,NS,haematopoietic_and_lymphoid_tissue,central_nervous_system,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO29664799,kidney,NS,lymphoma,non_Hodgkin,small_cell,NS,haematopoietic_and_lymphoid_tissue,kidney,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C3457
COSO27984799,blood_bone_marrow,NS,lymphoma,non_Hodgkin,small_cell,NS,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO27604799,liver,NS,lymphoma,non_Hodgkin,small_cell,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO27984799,NS,NS,lymphoma,non_Hodgkin,small_cell,NS,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO30324799,mouth,gingiva,lymphoma,non_Hodgkin,small_cell,NS,haematopoietic_and_lymphoid_tissue,mouth,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C3457
COSO30324799,lymphoreticular_system,extranodal,lymphoma,non_Hodgkin,small_cell,NS,haematopoietic_and_lymphoid_tissue,mouth,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C3457
COSO29164799,lymphoreticular_system,extranodal,lymphoma,non_Hodgkin,small_cell,NS,haematopoietic_and_lymphoid_tissue,liver,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C3457
COSO29664799,lymphoreticular_system,extranodal,lymphoma,non_Hodgkin,small_cell,NS,haematopoietic_and_lymphoid_tissue,kidney,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C3457
COSO27604799,lymph_node,NS,lymphoma,non_Hodgkin,small_cell,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO37824797,abdomen,NS,lymphoma,non_Hodgkin,small_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,abdomen,lymphoid_neoplasm,Burkitt_lymphoma,C2912
COSO28484797,central_nervous_system,NS,lymphoma,non_Hodgkin,small_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,central_nervous_system,lymphoid_neoplasm,Burkitt_lymphoma,C27465
COSO28484797,central_nervous_system,extradural,lymphoma,non_Hodgkin,small_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,central_nervous_system,lymphoid_neoplasm,Burkitt_lymphoma,C27465
COSO29664797,kidney,NS,lymphoma,non_Hodgkin,small_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,kidney,lymphoid_neoplasm,Burkitt_lymphoma,C2912
COSO27984797,blood_bone_marrow,NS,lymphoma,non_Hodgkin,small_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,Burkitt_lymphoma,C2912
COSO29164797,liver,NS,lymphoma,non_Hodgkin,small_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,liver,lymphoid_neoplasm,Burkitt_lymphoma,C2912
COSO30324797,mouth,gingiva,lymphoma,non_Hodgkin,small_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,mouth,lymphoid_neoplasm,Burkitt_lymphoma,C2912
COSO27604797,lymph_node,NS,lymphoma,non_Hodgkin,small_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,Burkitt_lymphoma,C2912
COSO29094797,skin,NS,lymphoma,non_Hodgkin,small_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,skin,lymphoid_neoplasm,Burkitt_lymphoma,C2912
COSO27984797,NS,NS,lymphoma,non_Hodgkin,small_cell,non_cleaved,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,Burkitt_lymphoma,C2912
COSO59505099,retroperitoneum,NS,lymphoma,non_Hodgkin,NS,NS,haematopoietic_and_lymphoid_tissue,retroperitoneum,lymphoid_neoplasm,NS,C7065
COSO29095099,skin,NS,lymphoma,non_Hodgkin,NS,NS,haematopoietic_and_lymphoid_tissue,skin,lymphoid_neoplasm,NS,C7065
COSO36295099,thyroid,NS,lymphoma,non_Hodgkin,NS,NS,haematopoietic_and_lymphoid_tissue,thyroid,lymphoid_neoplasm,NS,C7065
COSO57435099,bone,NS,lymphoma,non_Hodgkin,NS,NS,haematopoietic_and_lymphoid_tissue,bone,lymphoid_neoplasm,NS,C27134
COSO27985099,NS,NS,lymphoma,non_Hodgkin,NS,NS,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,NS,C7065
COSO27985099,blood_bone_marrow,NS,lymphoma,non_Hodgkin,NS,NS,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,NS,C7065
COSO28845099,colon,NS,lymphoma,non_Hodgkin,NS,NS,haematopoietic_and_lymphoid_tissue,large_intestine,lymphoid_neoplasm,NS,C7065
COSO27605099,lymph_node,NS,lymphoma,non_Hodgkin,NS,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,NS,C7065
COSO27654818,adrenal_gland,bilateral_right,lymphoma,non_Hodgkin,diffuse_large_B_cell,NS,haematopoietic_and_lymphoid_tissue,adrenal_gland,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO27654818,adrenal_gland,bilateral_left,lymphoma,non_Hodgkin,diffuse_large_B_cell,NS,haematopoietic_and_lymphoid_tissue,adrenal_gland,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO27654818,adrenal_gland,bilateral,lymphoma,non_Hodgkin,diffuse_large_B_cell,NS,haematopoietic_and_lymphoid_tissue,adrenal_gland,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO525111319,mediastinum,NS,lymphoma,non_Hodgkin,diffuse_large_B_cell,post_PV,haematopoietic_and_lymphoid_tissue,mediastinum,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO27984820,NS,NS,lymphoma,non_Hodgkin,peripheral_T_cell,NS,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,C4340
COSO27654820,adrenal_gland,NS,lymphoma,non_Hodgkin,peripheral_T_cell,NS,haematopoietic_and_lymphoid_tissue,adrenal_gland,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,C4340
COSO27654820,adrenal_gland,NS,lymphoma,non_Hodgkin,peripheral_T_cell_lymphoma,NS,haematopoietic_and_lymphoid_tissue,adrenal_gland,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,C4340
COSO27984820,NS,NS,lymphoma,non_Hodgkin,T_cell,NS,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,C4340
COSO28484820,central_nervous_system,NS,lymphoma,non_Hodgkin,T_cell,NS,haematopoietic_and_lymphoid_tissue,central_nervous_system,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,C4340
COSO27604820,lymph_node,NS,lymphoma,non_Hodgkin,T_cell,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,C4340
COSO27984820,NS,NS,lymphoma,non_Hodgkin,T_cell,L1,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,C4340
COSO27604820,lymph_node,NS,lymphoma,non_Hodgkin,T_cell,mixed,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,C4340
COSO27604820,lymph_node,NS,lymphoma,non_Hodgkin,T_cell,large_cell,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,C4340
COSO27984820,NS,NS,lymphoma,non_Hodgkin,T_cell,large_cell,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,C4340
COSO27606717,lymph_node,NS,lymphoma,non_Hodgkin,T_cell,lymphoblastic,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,precursor_T_cell_lymphoblastic_lymphoma,C6919
COSO27986717,NS,NS,lymphoma,non_Hodgkin,T_cell,lymphoblastic,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,precursor_T_cell_lymphoblastic_lymphoma,C6919
COSO279810499,NS,NS,lymphoma,non_Hodgkin,T_cell,angioimmunoblastic,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,angioimmunoblastic_T_cell_lymphoma,C7528
COSO276010499,lymph_node,NS,lymphoma,non_Hodgkin,T_cell,angioimmunoblastic,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,angioimmunoblastic_T_cell_lymphoma,C7528
COSO27604820,lymph_node,NS,lymphoma,non_Hodgkin,T_cell,small_cell_peripheral,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,C4340
COSO289918193,ileum,NS,lymphoma,non_Hodgkin,T_cell,post_ET,haematopoietic_and_lymphoid_tissue,small_intestine,lymphoid_neoplasm,enteropathy_type_T_cell_lymphoma,C39610
COSO27986562,NS,NS,lymphoma,non_Hodgkin,T_cell,convoluted,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,mycosis_fungoides-Sezary_syndrome,C9265
COSO59524799,soft_tissue,NS,lymphoma,non_Hodgkin,B_cell,NS,haematopoietic_and_lymphoid_tissue,soft_tissue,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO108204799,mesentery,NS,lymphoma,non_Hodgkin,B_cell,NS,haematopoietic_and_lymphoid_tissue,mesentery,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO28994799,duodenum,NS,lymphoma,non_Hodgkin,B_cell,NS,haematopoietic_and_lymphoid_tissue,small_intestine,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO27604799,lymph_node,supraclavicular,lymphoma,non_Hodgkin,B_cell,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO28484799,central_nervous_system,NS,lymphoma,non_Hodgkin,B_cell,NS,haematopoietic_and_lymphoid_tissue,central_nervous_system,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO27604799,lymph_node,NS,lymphoma,non_Hodgkin,B_cell,NS,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO28844818,colon,NS,lymphoma,non_Hodgkin,B_cell,NS,haematopoietic_and_lymphoid_tissue,large_intestine,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C96503
COSO27984799,NS,NS,lymphoma,non_Hodgkin,B_cell,NS,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO27984799,NS,NS,lymphoma,non_Hodgkin,B_cell,undifferentiated,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO27605045,lymph_node,NS,lymphoma,non_Hodgkin,B_cell,lymphocytic,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,C27911
COSO27604799,lymph_node,NS,lymphoma,non_Hodgkin,B_cell,mixed,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO29095697,skin,NS,lymphoma,non_Hodgkin,B_cell,follicular,haematopoietic_and_lymphoid_tissue,skin,lymphoid_neoplasm,follicular_lymphoma,C7218
COSO27985697,NS,NS,lymphoma,non_Hodgkin,B_cell,follicular,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,follicular_lymphoma,C3209
COSO59525697,soft_tissue,NS,lymphoma,non_Hodgkin,B_cell,follicular,haematopoietic_and_lymphoid_tissue,soft_tissue,lymphoid_neoplasm,follicular_lymphoma,
COSO37825697,abdomen,NS,lymphoma,non_Hodgkin,B_cell,follicular,haematopoietic_and_lymphoid_tissue,abdomen,lymphoid_neoplasm,follicular_lymphoma,C3209
COSO29115697,spleen,NS,lymphoma,non_Hodgkin,B_cell,follicular,haematopoietic_and_lymphoid_tissue,spleen,lymphoid_neoplasm,follicular_lymphoma,
COSO27605697,lymph_node,NS,lymphoma,non_Hodgkin,B_cell,follicular,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,follicular_lymphoma,C3209
COSO27984818,NS,NS,lymphoma,non_Hodgkin,B_cell,immunoblastic,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO27604818,lymph_node,NS,lymphoma,non_Hodgkin,B_cell,immunoblastic,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO29134920,cheek,NS,lymphoma,non_Hodgkin,B_cell,lymphoblastic,haematopoietic_and_lymphoid_tissue,head_neck,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,C8644
COSO27984920,NS,NS,lymphoma,non_Hodgkin,B_cell,lymphoblastic,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,C8644
COSO27604818,lymph_node,NS,lymphoma,non_Hodgkin,B_cell,centroblastic,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
COSO27604797,lymph_node,NS,lymphoma,non_Hodgkin,B_cell,Burkitt_like,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,Burkitt_lymphoma,C2912
COSO27604799,lymph_node,NS,lymphoma,non_Hodgkin,B_cell,monocytoid,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,B_cell_lymphoma_unspecified,C27907
COSO27605712,lymph_node,NS,lymphoma,non_Hodgkin,B_cell,centrocytic,haematopoietic_and_lymphoid_tissue,lymph_node,lymphoid_neoplasm,mantle_cell_lymphoma,C4337
COSO27984920,NS,NS,lymphoma,non_Hodgkin,B_cell,non_convoluted_lymphoblastic,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,C8644
COSO27984818,NS,NS,lymphoma,non_Hodgkin,B_cell,diffuse_centroblastic,haematopoietic_and_lymphoid_tissue,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,C8851
