@relation FemaleData

@attribute 'Cancer Site' {'All Sites','Colon and Rectum','Lung and Bronchus',Ovary,'Brain and Other Nervous System','Female Breast'}
@attribute 'Cancer Free Age' numeric
@attribute 'Probability of Developing Cancer (\%) by Age' numeric
@attribute Risk numeric

@data
'All Sites',0,5,0.108
'All Sites',0,10,0.174
'All Sites',0,15,0.247
'All Sites',0,20,0.36
'All Sites',0,25,0.551
'All Sites',0,30,0.886
'All Sites',0,35,1.45
'All Sites',0,40,2.327
'All Sites',0,45,3.669
'All Sites',0,50,5.573
'All Sites',0,55,8.094
'All Sites',0,60,11.199
'All Sites',0,65,14.988
'All Sites',0,70,19.5
'All Sites',0,75,24.314
'All Sites',0,80,28.983
'All Sites',0,85,32.952
'All Sites',0,90,35.724
'All Sites',0,95,37.109
'All Sites',0,95,37.73
'All Sites',5,5,?
'All Sites',5,10,0.068
'All Sites',5,15,0.141
'All Sites',5,20,0.255
'All Sites',5,25,0.448
'All Sites',5,30,0.786
'All Sites',5,35,1.357
'All Sites',5,40,2.243
'All Sites',5,45,3.598
'All Sites',5,50,5.522
'All Sites',5,55,8.069
'All Sites',5,60,11.206
'All Sites',5,65,15.033
'All Sites',5,70,19.591
'All Sites',5,75,24.455
'All Sites',5,80,29.172
'All Sites',5,85,33.182
'All Sites',5,90,35.982
'All Sites',5,95,37.382
'All Sites',5,95,38.009
'All Sites',10,5,?
'All Sites',10,10,?
'All Sites',10,15,0.073
'All Sites',10,20,0.188
'All Sites',10,25,0.381
'All Sites',10,30,0.719
'All Sites',10,35,1.291
'All Sites',10,40,2.178
'All Sites',10,45,3.534
'All Sites',10,50,5.461
'All Sites',10,55,8.01
'All Sites',10,60,11.151
'All Sites',10,65,14.982
'All Sites',10,70,19.546
'All Sites',10,75,24.415
'All Sites',10,80,29.137
'All Sites',10,85,33.152
'All Sites',10,90,35.955
'All Sites',10,95,37.356
'All Sites',10,95,37.984
'All Sites',15,5,?
'All Sites',15,10,?
'All Sites',15,15,?
'All Sites',15,20,0.115
'All Sites',15,25,0.308
'All Sites',15,30,0.647
'All Sites',15,35,1.219
'All Sites',15,40,2.107
'All Sites',15,45,3.465
'All Sites',15,50,5.394
'All Sites',15,55,7.947
'All Sites',15,60,11.092
'All Sites',15,65,14.928
'All Sites',15,70,19.497
'All Sites',15,75,24.372
'All Sites',15,80,29.101
'All Sites',15,85,33.12
'All Sites',15,90,35.927
'All Sites',15,95,37.33
'All Sites',15,95,37.959
'All Sites',20,5,?
'All Sites',20,10,?
'All Sites',20,15,?
'All Sites',20,20,?
'All Sites',20,25,0.194
'All Sites',20,30,0.533
'All Sites',20,35,1.107
'All Sites',20,40,1.997
'All Sites',20,45,3.358
'All Sites',20,50,5.291
'All Sites',20,55,7.85
'All Sites',20,60,11.002
'All Sites',20,65,14.847
'All Sites',20,70,19.427
'All Sites',20,75,24.313
'All Sites',20,80,29.052
'All Sites',20,85,33.081
'All Sites',20,90,35.894
'All Sites',20,95,37.301
'All Sites',20,95,37.931
'All Sites',25,5,?
'All Sites',25,10,?
'All Sites',25,15,?
'All Sites',25,20,?
'All Sites',25,25,?
'All Sites',25,30,0.341
'All Sites',25,35,0.916
'All Sites',25,40,1.81
'All Sites',25,45,3.176
'All Sites',25,50,5.117
'All Sites',25,55,7.686
'All Sites',25,60,10.849
'All Sites',25,65,14.709
'All Sites',25,70,19.306
'All Sites',25,75,24.211
'All Sites',25,80,28.969
'All Sites',25,85,33.013
'All Sites',25,90,35.837
'All Sites',25,95,37.248
'All Sites',25,95,37.881
'All Sites',30,5,?
'All Sites',30,10,?
'All Sites',30,15,?
'All Sites',30,20,?
'All Sites',30,25,?
'All Sites',30,30,?
'All Sites',30,35,0.579
'All Sites',30,40,1.477
'All Sites',30,45,2.852
'All Sites',30,50,4.804
'All Sites',30,55,7.387
'All Sites',30,60,10.57
'All Sites',30,65,14.452
'All Sites',30,70,19.076
'All Sites',30,75,24.009
'All Sites',30,80,28.794
'All Sites',30,85,32.862
'All Sites',30,90,35.703
'All Sites',30,95,37.123
'All Sites',30,95,37.759
'All Sites',35,5,?
'All Sites',35,10,?
'All Sites',35,15,?
'All Sites',35,20,?
'All Sites',35,25,?
'All Sites',35,30,?
'All Sites',35,35,?
'All Sites',35,40,0.907
'All Sites',35,45,2.293
'All Sites',35,50,4.263
'All Sites',35,55,6.869
'All Sites',35,60,10.079
'All Sites',35,65,13.996
'All Sites',35,70,18.661
'All Sites',35,75,23.638
'All Sites',35,80,28.465
'All Sites',35,85,32.569
'All Sites',35,90,35.434
'All Sites',35,95,36.867
'All Sites',35,95,37.509
'All Sites',40,5,?
'All Sites',40,10,?
'All Sites',40,15,?
'All Sites',40,20,?
'All Sites',40,25,?
'All Sites',40,30,?
