Probability of Developing Cancer
By Race/Ethnicity
Brain and Other Nervous System  All Ages  Both Sexes
2013-2015 

"Race/Ethnicity","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"All Races","Age 0","Age <br/>5",0.020
"All Races","Age 0","Age <br/>10",0.037
"All Races","Age 0","Age <br/>15",0.050
"All Races","Age 0","Age <br/>20",0.062
"All Races","Age 0","Age <br/>25",0.073
"All Races","Age 0","Age <br/>30",0.087
"All Races","Age 0","Age <br/>35",0.102
"All Races","Age 0","Age <br/>40",0.120
"All Races","Age 0","Age <br/>45",0.139
"All Races","Age 0","Age <br/>50",0.166
"All Races","Age 0","Age <br/>55",0.201
"All Races","Age 0","Age <br/>60",0.246
"All Races","Age 0","Age <br/>65",0.299
"All Races","Age 0","Age <br/>70",0.363
"All Races","Age 0","Age <br/>75",0.435
"All Races","Age 0","Age <br/>80",0.502
"All Races","Age 0","Age <br/>85",0.559
"All Races","Age 0","Age <br/>90",0.594
"All Races","Age 0","Age <br/>95",0.609
"All Races","Age 0","Age <br/>95+",0.616
"All Races","Age 5","Age <br/>5",
"All Races","Age 5","Age <br/>10",0.017
"All Races","Age 5","Age <br/>15",0.031
"All Races","Age 5","Age <br/>20",0.043
"All Races","Age 5","Age <br/>25",0.054
"All Races","Age 5","Age <br/>30",0.068
"All Races","Age 5","Age <br/>35",0.083
"All Races","Age 5","Age <br/>40",0.101
"All Races","Age 5","Age <br/>45",0.121
"All Races","Age 5","Age <br/>50",0.147
"All Races","Age 5","Age <br/>55",0.183
"All Races","Age 5","Age <br/>60",0.228
"All Races","Age 5","Age <br/>65",0.282
"All Races","Age 5","Age <br/>70",0.347
"All Races","Age 5","Age <br/>75",0.419
"All Races","Age 5","Age <br/>80",0.488
"All Races","Age 5","Age <br/>85",0.545
"All Races","Age 5","Age <br/>90",0.580
"All Races","Age 5","Age <br/>95",0.595
"All Races","Age 5","Age <br/>95+",0.602
"All Races","Age 10","Age <br/>5",
"All Races","Age 10","Age <br/>10",
"All Races","Age 10","Age <br/>15",0.014
"All Races","Age 10","Age <br/>20",0.026
"All Races","Age 10","Age <br/>25",0.037
"All Races","Age 10","Age <br/>30",0.050
"All Races","Age 10","Age <br/>35",0.066
"All Races","Age 10","Age <br/>40",0.084
"All Races","Age 10","Age <br/>45",0.104
"All Races","Age 10","Age <br/>50",0.130
"All Races","Age 10","Age <br/>55",0.166
"All Races","Age 10","Age <br/>60",0.212
"All Races","Age 10","Age <br/>65",0.265
"All Races","Age 10","Age <br/>70",0.330
"All Races","Age 10","Age <br/>75",0.402
"All Races","Age 10","Age <br/>80",0.471
"All Races","Age 10","Age <br/>85",0.528
"All Races","Age 10","Age <br/>90",0.563
"All Races","Age 10","Age <br/>95",0.579
"All Races","Age 10","Age <br/>95+",0.585
"All Races","Age 15","Age <br/>5",
"All Races","Age 15","Age <br/>10",
"All Races","Age 15","Age <br/>15",
"All Races","Age 15","Age <br/>20",0.012
"All Races","Age 15","Age <br/>25",0.023
"All Races","Age 15","Age <br/>30",0.037
"All Races","Age 15","Age <br/>35",0.053
"All Races","Age 15","Age <br/>40",0.070
"All Races","Age 15","Age <br/>45",0.090
"All Races","Age 15","Age <br/>50",0.117
"All Races","Age 15","Age <br/>55",0.152
"All Races","Age 15","Age <br/>60",0.198
"All Races","Age 15","Age <br/>65",0.252
"All Races","Age 15","Age <br/>70",0.317
"All Races","Age 15","Age <br/>75",0.389
"All Races","Age 15","Age <br/>80",0.458
"All Races","Age 15","Age <br/>85",0.515
"All Races","Age 15","Age <br/>90",0.550
"All Races","Age 15","Age <br/>95",0.566
"All Races","Age 15","Age <br/>95+",0.572
"All Races","Age 20","Age <br/>5",
"All Races","Age 20","Age <br/>10",
"All Races","Age 20","Age <br/>15",
"All Races","Age 20","Age <br/>20",
"All Races","Age 20","Age <br/>25",0.011
"All Races","Age 20","Age <br/>30",0.025
"All Races","Age 20","Age <br/>35",0.041
"All Races","Age 20","Age <br/>40",0.058
"All Races","Age 20","Age <br/>45",0.078
"All Races","Age 20","Age <br/>50",0.105
"All Races","Age 20","Age <br/>55",0.141
"All Races","Age 20","Age <br/>60",0.186
"All Races","Age 20","Age <br/>65",0.240
"All Races","Age 20","Age <br/>70",0.306
"All Races","Age 20","Age <br/>75",0.378
"All Races","Age 20","Age <br/>80",0.447
"All Races","Age 20","Age <br/>85",0.504
"All Races","Age 20","Age <br/>90",0.539
"All Races","Age 20","Age <br/>95",0.555
"All Races","Age 20","Age <br/>95+",0.562
"All Races","Age 25","Age <br/>5",
"All Races","Age 25","Age <br/>10",
"All Races","Age 25","Age <br/>15",
"All Races","Age 25","Age <br/>20",
"All Races","Age 25","Age <br/>25",
"All Races","Age 25","Age <br/>30",0.014
"All Races","Age 25","Age <br/>35",0.030
"All Races","Age 25","Age <br/>40",0.047
"All Races","Age 25","Age <br/>45",0.068
"All Races","Age 25","Age <br/>50",0.094
"All Races","Age 25","Age <br/>55",0.130
"All Races","Age 25","Age <br/>60",0.176
"All Races","Age 25","Age <br/>65",0.230
